EF0300003|2013-11-13 08:46|No Valid Permit Displayed|19th Street/R-U Street|IL N562776
EF0700002|2013-11-13 08:48|Parking in Unauthorized Area|South Stadium|NE SCK286
EF010018|2013-11-13 08:51|No Valid Permit Displayed|Westbrook Music Building|NE TJZ415
EF0700003|2013-11-13 08:58|Expired Meter|Sapp Drive|NE 28D957
EF0700004|2013-11-13 09:00|Expired Meter|Sapp Drive|NE SSC905
EF0700005|2013-11-13 09:01|Expired Meter|Sapp Drive|NE RYU880
EF0300004|2013-11-13 09:09|Expired Meter|Abel|NE SEJ732
EF0300005|2013-11-13 09:11|Expired Meter|Abel|NE TKM437
EF0300006|2013-11-13 09:14|Expired Meter|Abel|NE TDY930
EF0300007|2013-11-13 09:16|Expired Meter|Abel|NE TGR725
EF010019|2013-11-13 09:19|Parking in Unauthorized Area|Health Center|NE TGG134
EF0300008|2013-11-13 09:24|Expired Meter|Sandoz|NE RWI549
EF0300009|2013-11-13 09:27|Expired Meter|Sandoz|NE RXB162
EF010020|2013-11-13 09:33|No Parking Area|Health Center Patient|NE SKH520
EF0300010|2013-11-13 09:36|No Valid Permit Displayed|Beadle South|NE SBS084
EF0700006|2013-11-13 09:38|No Valid Permit Displayed|Champions Club|NE RSM963
EF0700007|2013-11-13 09:46|No Valid Permit Displayed|Champions Club|NE 42C638
EF010021|2013-11-13 09:46|Parking in Unauthorized Area|Health Center Patient|NE TCM990
EF010022|2013-11-13 09:49|Parking in Unauthorized Area|Health Center Patient|NE 193LUD
EF010023|2013-11-13 09:52|Parking in Unauthorized Area|Health Center Patient|WA AIF4373
EF010024|2013-11-13 09:54|Parking in Unauthorized Area|Health Center Patient|CO 350XHH
EF010025|2013-11-13 09:57|Parking in Unauthorized Area|Health Center Patient|NE 4A4184
EF010026|2013-11-13 10:00|Parking in Unauthorized Area|Health Center Patient|NE 28G118
EF0500001|2013-11-13 10:02|Parking in Unauthorized Area|Dental North|NE 28G939
EF0700008|2013-11-13 10:04|Parking in Unauthorized Area|Champions Club|CA 5KPA524
EF0500002|2013-11-13 10:09|No Valid Permit Displayed|Dental North|NE 24E338
EF0500003|2013-11-13 10:16|No Valid Permit Displayed|Dental North|NE 13G150
EF010027|2013-11-13 10:39|Parking in Unauthorized Area|Union|NE LVNLRGE
EF0800003|2013-11-13 10:50|No Valid Permit Displayed|Boathouse|NE TJM832
EF0800004|2013-11-13 10:56|Parking in Unauthorized Area|14th & W Street|NE SNS978
EF0700009|2013-11-13 10:58|Expired Meter|South Stadium|NE SNP293
EF0700010|2013-11-13 11:04|Expired Meter|South Stadium|NE 18T534
EF0800005|2013-11-13 11:06|Parking in Unauthorized Area|14th & W Street|SD 2KS372
EF0700011|2013-11-13 11:06|Expired Meter|South Stadium|NE SVM056
EF0700012|2013-11-13 11:09|Expired Meter|South Stadium|OK 424KMS
EF0500008|2013-11-13 11:17|Expired Meter|East Union|IL R997343
EF0500009|2013-11-13 11:20|Expired Meter|East Union|NE SXC156
EF0500010|2013-11-13 11:23|Expired Meter|East Union|NE SNL885
EF0700013|2013-11-13 11:28|Parking in Unauthorized Area|Champions Club|NE 14P617
20076020|2013-11-13 11:52|No Valid Permit Displayed|Harper Schramm Smith|NE 332DMG
EF0300011|2013-11-13 11:59|No Valid Permit Displayed|Harper Schramm Smith|NE RYL775
EF0800006|2013-11-13 12:05|Expired Meter|Housing|NE SPI945
EF0300012|2013-11-13 12:14|Parking in Unauthorized Area|Harper Schramm Smith|NE SPJ431
EF0300013|2013-11-13 12:16|Parking in Unauthorized Area|Inside Loop|NE SPJ431
EF0800007|2013-11-13 12:25|Parking in Unauthorized Area|Inside Loop|NE SBU307
EF0800008|2013-11-13 12:37|Parking in Unauthorized Area|Westbrook Music Building|SC IMS759
EF0300014|2013-11-13 12:37|Parking in Unauthorized Area|Westbrook Music Building|NE SNZ509
EF0700014|2013-11-13 13:29|Parking in Unauthorized Area|Harper Schramm Smith|WI 208UWC
EF0600011|2013-11-13 14:02|Parking in Unauthorized Area|Sheldon|NE 3B4493
EF010028|2013-11-13 14:10|No Valid Permit Displayed|Dental East|NE SBT268
EF0600012|2013-11-13 14:11|Parking in Unauthorized Area|North Stadium|TX BWC5686
EF0700015|2013-11-13 14:14|Expired Meter|14th & W Street|NE SGF306
EF0600013|2013-11-13 14:15|Parking in Unauthorized Area|North Stadium|NE SSI667
EF010029|2013-11-13 14:34|Parking in Unauthorized Area|Hardin Hall|NE TAJ571
EF0300015|2013-11-13 14:36|Parking in Unauthorized Area|Sandoz|NE 11F993
EF0300016|2013-11-13 14:41|Parking in Unauthorized Area|Sandoz|NE SCK431
EF010030|2013-11-13 14:41|Parking in Unauthorized Area|Hardin Hall|NE 10CR50
EF0300017|2013-11-13 14:43|Parking in Unauthorized Area|Sandoz|NE STV415
EF0300018|2013-11-13 14:49|Parking in Unauthorized Area|Sandoz|NE SLN151
EF0300019|2013-11-13 14:58|No Valid Permit Displayed|Beadle South|NE TEI325
EF0800009|2013-11-13 15:29|Expired Meter|Sandoz|NE RXB162
EF0300020|2013-11-13 15:38|Improper Parking|Sandoz|NE 44D461
EF0800010|2013-11-13 15:50|No Valid Permit Displayed|19th Street/R-U Street|NE TDZ183
EF010034|2013-11-13 16:33|Expired Meter|East Union|NE 8D3051
EF010035|2013-11-13 16:35|Expired Meter|East Union|NE 9COMM4509
EF0700016|2013-11-13 16:35|No Valid Permit Displayed|Inside Loop|NE TBI458
EF010036|2013-11-13 16:37|Expired Meter|East Union|NE SST809
EF010037|2013-11-13 16:38|Expired Meter|East Union|NE SEE313
EF010038|2013-11-13 16:40|Expired Meter|East Union|NE SSR807
EF0700017|2013-11-13 16:41|No Valid Permit Displayed|Health Center|NE RXV954
EF010039|2013-11-13 16:42|Expired Meter|East Union|NE STA958
EF010040|2013-11-13 16:43|Expired Meter|East Union|NE TGK898
EF010041|2013-11-13 16:45|Expired Meter|East Union|NE SCB635
EF0700018|2013-11-13 17:07|Expired Meter|Union|NE 10B999
EF0700019|2013-11-13 17:09|Expired Meter|Union|NE 7A5364
EF010042|2013-11-13 17:13|Expired Meter|Burr|NE 48COMM677
EF0300021|2013-11-13 17:13|Expired Meter|South Stadium|KY 039PKZ
EF0700020|2013-11-13 17:14|Parking in Unauthorized Area|Union|NE HHXXHSKR
EF010043|2013-11-13 17:14|Expired Meter|Burr|NE SJK118
EF0300022|2013-11-13 17:15|Expired Meter|South Stadium|NE 14AB30
EF010044|2013-11-13 17:17|No Valid Permit Displayed|Burr|NE 10K855
EF0300023|2013-11-13 17:18|Expired Meter|South Stadium|NE RXH494
EF0300024|2013-11-13 17:29|No Valid Permit Displayed|Harper Schramm Smith|IL 6521525
EF0300025|2013-11-13 17:34|Park in Handicap Stall 1st Off.|Sapp Drive|NE TGI102
EF0300026|2013-11-13 17:39|Expired Meter|Sapp Drive|NE TJM339
EF0300027|2013-11-13 17:41|Expired Meter|Sapp Drive|TX 750WYH
EF0300028|2013-11-13 17:45|No Valid Permit Displayed|Sapp Drive|NE 19B184
EF0300029|2013-11-13 17:52|Expired Meter|14th & W Street|NE 12C568
EF0300030|2013-11-13 17:53|Expired Meter|14th & W Street|NE SGS637
EF0300031|2013-11-13 17:54|Expired Meter|14th & W Street|NE RRS997
EF0300032|2013-11-13 17:57|Expired Meter|14th & W Street|MN XAT583
EF0300033|2013-11-13 17:58|Expired Meter|14th & W Street|NE TEK172
EF0300034|2013-11-13 18:00|Expired Meter|14th & W Street|NE SVK599
EF0300035|2013-11-13 18:02|Expired Meter|14th & W Street|NE TJZ528
EF0300036|2013-11-13 18:13|No Valid Permit Displayed|14th & W Street|MN 435KZR
EF0300037|2013-11-13 18:22|No Valid Permit Displayed|Engineering|NE TJP225
EF0700021|2013-11-13 18:23|No Valid Permit Displayed|Loop|NE TIY023
EF0700022|2013-11-13 18:26|No Valid Permit Displayed|Loop|NE 9C6615
EF0700023|2013-11-13 18:30|No Valid Permit Displayed|Loop|NE SEU444
EF0300038|2013-11-13 18:30|Improper Parking|Devaney South|NE TAN994
EF010045|2013-11-13 18:31|Expired Meter|East Union|CA 5MCW435
EF0300039|2013-11-13 18:32|Expired Meter|Devaney South|KS 945FFH
EF0800011|2013-11-13 18:33|Expired Meter|South Stadium|NE TGT996
EF0700024|2013-11-13 18:34|No Valid Permit Displayed|Loop|NE SCM987
EF010046|2013-11-13 18:34|Expired Meter|East Union|NE RUY245
EF0300040|2013-11-13 18:34|No Valid Permit Displayed|Devaney South|NE 6FARM1407
EF0800012|2013-11-13 18:36|Expired Meter|South Stadium|NE 54A105
EF0300041|2013-11-13 18:36|No Valid Permit Displayed|Devaney South|NE TEC285
EF010047|2013-11-13 18:36|Expired Meter|East Union|NE SSZ509
EF0700025|2013-11-13 18:36|No Valid Permit Displayed|Loop|NE 10Y507
EF0300042|2013-11-13 18:38|No Valid Permit Displayed|Devaney South|IA AYY376
EF0800013|2013-11-13 18:39|Expired Meter|South Stadium|NE STC707
EF010048|2013-11-13 18:39|Expired Meter|East Union|NE 25F51
EF0300043|2013-11-13 18:39|No Valid Permit Displayed|Devaney South|NE 78A402
EF0300044|2013-11-13 18:41|No Valid Permit Displayed|Devaney South|NE RUY123
EF0800014|2013-11-13 18:41|Expired Meter|South Stadium|IA 010SST
EF0300045|2013-11-13 18:42|No Valid Permit Displayed|Devaney South|NE RSK772
EF0800015|2013-11-13 18:43|Expired Meter|South Stadium|NE SES945
EF0300046|2013-11-13 18:44|No Valid Permit Displayed|Devaney South|NE 16COMM3967
EF0300047|2013-11-13 18:45|No Valid Permit Displayed|Devaney South|NE RYN488
EF0800016|2013-11-13 18:45|Expired Meter|South Stadium|NE SEC720
EF010049|2013-11-13 18:46|Expired Meter|Dental North|NE SCK615
EF0700026|2013-11-13 18:47|Parking in Unauthorized Area|Union|NE RRJ534
EF0300048|2013-11-13 18:47|No Valid Permit Displayed|Devaney South|NE SSU298
EF010050|2013-11-13 18:48|Expired Meter|Dental North|NE 45C723
EF0300049|2013-11-13 18:48|No Valid Permit Displayed|Devaney South|NE 6B3403
EF0800017|2013-11-13 18:49|No Valid Permit Displayed|South Stadium|NE TCB705
EF0700027|2013-11-13 18:50|Parking in Unauthorized Area|Union|NE SBK606
EF010051|2013-11-13 18:50|Expired Meter|Dental North|NE 10L195
EF0800018|2013-11-13 18:52|No Valid Permit Displayed|South Stadium|SD 6DZ228
EF010052|2013-11-13 18:52|Expired Meter|Dental North|NE 76FARM1142
EF0700028|2013-11-13 18:52|Parking in Unauthorized Area|Union|SD 62ER39
EF010053|2013-11-13 18:55|Expired Meter|Dental North|NE TGU965
EF0700029|2013-11-13 18:56|Expired Meter|Union|NE 48E536
EF0800019|2013-11-13 18:56|No Valid Permit Displayed|South Stadium|IL S656045
EF0700030|2013-11-13 18:57|Expired Meter|Union|NE SDM491
EF0300050|2013-11-13 18:57|Expired Meter|14th & W Street|NE TAN764
EF0800020|2013-11-13 18:58|No Valid Permit Displayed|South Stadium|NE 8B5965
